FORMATO DE REPORTE DE NOVEDADES SEMANALES Y ACTUALIZACIÓN DE CUPOS - 2026;;;;;;;;;;;
;;;;;;;;;;;
INSTITUCIÓN EDUCATIVA;TIPO DE COMPLEMENTO;;;;;;;;;;
I.E ANA GOMEZ DE SIERRA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;SIMAT 04 FEBRERO;;;
NOVENO 2;;;33;;;;;;;;
DÉCIMO 1;;;27;;;;;;;;
DÉCIMO 2;;;22;;;;;;;;
ONCE 1;;;23;;;;;;;;
ONCE 2;;;25;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;622;0;239;0;;622;;;
SEDE MARIA INMACULADA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR;;;11;;11;;;;;;
PRIMERO ;;;25;;25;;;;;;
SEGUNDO ;;;16;;16;;;;;;
TERCERO ;;;36;;36;;;;;;
CUARTO ;;;36;;36;;;;;;
QUINTO ;;;31;;31;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;155;0;155;0;;155;;;
I.E. GILBERTO ECHEVERRI MEJIA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR;;;36;;36;;;;;;
PRIMERO;;;31;;31;;;;;;
SEGUNDO ;;;36;;36;;;;;;
TERCERO 1;;;24;;24;;;;;;
TERCERO 2;;;22;;22;;;;;;
CUARTO ;;;40;;40;;;;;;
QUINTO 1;;;20;;20;;;;;;
QUINTO 2;;;23;;23;;;;;;
SEXTO 1;;;23;;23;;;;;;
SEXTO 2;;;24;;24;;;;;;
SÉPTIMO 1;;;23;;23;;;;;;
SÉPTIMO 2;;;23;;23;;;;;;
OCTAVO 1;;;24;;24;;;;;;
OCTAVO 2;;;25;;25;;;;;;
NOVENO 1;;;20;;20;;;;;;
NOVENO 2;;;20;;20;;;;;;
DÉCIMO ;;;30;;;;;;;;
ONCE 1;;;29;;;;;;;;
ONCE 2;;;28;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;501;0;414;0;;538;;;
I.E. DOMINGO SAVIO;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
SEXTO 1;;;20;;20;;;;;;
SEXTO 2;;;20;;20;;;;;;
SÉPTIMO 1;;;14;;15;;;;;;
SEPTIMO 2;;;14;;15;;;;;;
OCTAVO 1;;;23;;23;;;;;;
NOVENO ;;;20;;26;;;;;;
DÉCIMO ;;;16;;19;;;;;;
ONCE ;;;21;;21;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;148;0;159;0;;222;;;
SEDE CHIPRE ;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
TERCERO ;;;31;;31;;;;;;
CUARTO 1;;;35;;35;;;;;;
CUARTO 2;;;;;;;;;;;
QUINTO;;;56;;56;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;122;0;122;0;;122;;;
SEDE TRES PUERTAS;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
TRANSICIÓN 1;;;19;;19;;;;;;
TRANSICIÓN 2;;;24;;24;;;;;;
PRIMERO 1;;;31;;31;;;;;;
PRIMERO 2;;;31;;31;;;;;;
SEGUNDO;;;27;;27;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;132;0;132;0;;155;;;
I.E. ESCUELA NORMAL SUPERIOR DE MARIA ;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR ;0;;;;0;;;;;;
PRIMERO ;29;;;;29;;;;;;
SEGUNDO ;31;;;;31;;;;;;
TERCERO;36;;;;36;;;;;;
CUARTO;31;;;;31;;;;;;
QUINTO;35;;;;35;;;;;;
SEXTO 1;30;;;;30;;;;;;
SEXTO 2;30;;;;30;;;;;;
SEXTO 3;30;;;;30;;;;;;
SÉPTIMO 1;39;;;;39;;;;;;
SÉPTIMO 2;39;;;;39;;;;;;
OCHO 1;28;;;;28;;;;;;
OCHO 2;28;;;;28;;;;;;
OCHO 3;29;;;;29;;;;;;
NOVENO 1;40;;;;40;;;;;;
NOVENO 2;40;;;;40;;;;;;
NOVENO 3;40;;;;40;;;;;;
DÉCIMO 1;27;;;;;;;;;;
DÉCIMO 2;30;;;;;;;;;;
DÉCIMO 3;28;;;;;;;;;;
DÉCIMO 4;29;;;;;;;;;;
ONCE 1;36;;;;;;;;;;
ONCE 2;35;;;;;;;;;;
ONCE 3;35;;;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;755;0;0;0;535;0;;755;;;
SEDE CARMELA BIANCHETTI 1;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PRIMERO ;;;;35;;;;;;;
SEGUNDO ;;;;30;;;;;;;
TERCERO;;;;38;;;;;;;
SEXTO ;;;36;;;;;;;;
SEPTIMO 1;;;30;;;;;;;;
SEPTIMO 2;;;30;;;;;;;;
OCTAVO;;;27;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;123;103;0;0;;233;;;
