FORMATO DE REPORTE DE NOVEDADES SEMANALES Y ACTUALIZACIÓN DE CUPOS - 2026;;;;;;;;;;;
;;;;;;;;;;;
INSTITUCIÓN EDUCATIVA;TIPO DE COMPLEMENTO;;;;;;;;;;
I.E ANA GOMEZ DE SIERRA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;SIMAT 04 FEBRERO;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;7;0;7;0;;7;;;
SEDE VILACHUAGA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PRIMERO ;;;1;;1;;;;;;
SEGUNDO ;;;1;;1;;;;;;
TERCERO ;;;2;;2;;;;;;
CUARTO;;;2;;2;;;;;;
QUINTO;;;1;;1;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;7;0;7;0;;8;;;
I.E. SAN JOSÉ DE LAS CUCHILLAS;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREJARDIN;;;5;;;;;;;;
JARDIN;;;0;;;;;;;;
PREESCOLAR ;;;22;;;;;;;;
PRIMERO ;;;29;;;;;;;;
SEGUNDO ;;;32;;;;;;;;
TERCERO ;;;33;;;;;;;;
CUARTO ;;;34;;;;;;;;
QUINTO ;;;30;;;;;;;;
SEXTO 1;;;35;;;;;;;;
SEXTO 2;;;35;;;;;;;;
SÉPTIMO 1;;;34;;;;;;;;
SÉPTIMO 2;;;33;;;;;;;;
OCTAVO 1;;;35;;;;;;;;
OCTAVO 2;;;34;;;;;;;;
NOVENO 1;;;33;;;;;;;;
NOVENO 2;;;33;;;;;;;;
DÉCIMO 1;;;30;;;;;;;;
DÉCIMO 2;;;27;;;;;;;;
ONCE 1;;;31;;;;;;;;
ONCE 2;;;27;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;572;0;0;0;;572;;;
SEDE EL CARMÍN;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR ;;;13;;13;;;;;;
PRIMERO ;;;20;;20;;;;;;
SEGUNDO ;;;25;;25;;;;;;
TERCERO;;;26;;26;;;;;;
CUARTO;;;23;;23;;;;;;
QUINTO;;;32;;32;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;139;0;139;0;;141;;;
I.E. SANTA BARBARA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREJARDIN;;;;8;;;;;;;
PREESCOLAR;;;25;;25;;;;;;
PRIMERO ;;;19;;19;;;;;;
SEGUNDO ;;;34;;36;;;;;;
TERCERO;;;33;;33;;;;;;
CUARTO ;;;38;;39;;;;;;
QUINTO ;;;35;;35;;;;;;
SEXTO 1;;;38;;38;;;;;;
SEXTO 2;;;37;;39;;;;;;
SÉPTIMO 1;;;31;;32;;;;;;
SÉPTIMO 2;;;33;;33;;;;;;
OCTAVO 1;;;29;;27;;;;;;
OCTAVO 2;;;32;;31;;;;;;
NOVENO 1;;;35;;34;;;;;;
NOVENO 2;;;30;;29;;;;;;
DÉCIMO 1;;;23;;19;;;;;;
DÉCIMO 2;;;27;;27;;;;;;
ONCE 1;;;22;;22;;;;;;
ONCE 2;;;16;;16;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;537;8;534;0;;566;;;
SEDE LOS PINOS ;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR ;;;11;;11;;;;;;
PRIMERO ;;;11;;11;;;;;;
SEGUNDO ;;;13;;14;;;;;;
TERCERO ;;;16;;16;;;;;;
CUARTO ;;;18;;18;;;;;;
QUINTO ;;;17;;17;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;86;0;87;0;;89;;;
SEDE RIO ABAJO;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR ;;;11;;11;;;;;;
PRIMERO ;;;11;;11;;;;;;
SEGUNDO ;;;17;;17;;;;;;
TERCERO ;;;14;;14;;;;;;
CUARTO ;;;13;;13;;;;;;
QUINTO ;;;17;;17;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;83;0;83;0;;83;;;
SEDE SAN LUIS;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR ;;;8;;8;;;;;;
PRIMERO ;;;14;;14;;;;;;
SEGUNDO ;;;16;;16;;;;;;
TERCERO ;;;4;;4;;;;;;
CUARTO ;;;17;;17;;;;;;
QUINTO ;;;7;;7;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;66;0;66;0;;66;;;
I.E. TÉCNICO INDUSTRIAL SANTIAGO DE ARMA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
SEXTO 1;;;35;;;;;;;;
SEXTO 2;;;35;;;;;;;;
SEXTO 3;;;35;;;;;;;;
SEXTO 4;;;35;;;;;;;;
SEXTO 5;;;35;;;;;;;;
SEXTO 6;;;35;;;;;;;;
SEXTO 7;;;36;;;;;;;;
SÉPTIMO 1;;;40;;;;;;;;
SÉPTIMO 2;;;40;;;;;;;;
SÉPTIMO 3;;;40;;;;;;;;
SÉPTIMO 4;;;40;;;;;;;;
SÉPTIMO 5;;;40;;;;;;;;
OCTAVO 1;;;37;;;;;;;;
OCTAVO 2;;;37;;;;;;;;
OCTAVO 3;;;37;;;;;;;;
OCTAVO 4;;;37;;;;;;;;
NOVENO 1;;;32;;;;;;;;
NOVENO 2;;;32;;;;;;;;
NOVENO 3;;;32;;;;;;;;
NOVENO 4;;;32;;;;;;;;
DÉCIMO 1;;;32;;35;;;;;;
DÉCIMO 2;;;32;;35;;;;;;
DÉCIMO 3;;;32;;35;;;;;;
DÉCIMO 4;;;32;;35;;;;;;
ONCE 1;;;32;;37;;;;;;
ONCE 2;;;34;;37;;;;;;
ONCE 3;;;34;;37;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;950;0;251;0;;1038;;;
SEDE JUAN MANUEL GONZÁLEZ;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR 1;25;;;;;;;;;;
PREESCOLAR 2;25;;;;;; ;;;;
PREESCOLAR 3;;24;;;;;;;;;
PRIMERO 1;36;;;;;;;;;;
PRIMERO 2;36;;;;;;;;;;
PRIMERO 3;;28;;;;;;;;;
SEGUNDO 1;37;;;;;;;;;;
SEGUNDO 2;37;;;;;;;;;;
SEGUNDO 3;;35;;;;;;;;;
TERCERO 1;37;;;;;;;;;;
TERCERO 2;38;;;;;;;;;;
TERCERO 3 ;;34;;;;;;;;;
CUARTO 1;40;;;;;;;;;;
CUARTO 2;;37;;;;;;;;;
CUARTO 3;;;;;;;;;;;
QUINTO 1;39;;;;;;;;;;
QUINTO 2;;34;;;;;;;;;
QUINTO 3;;33;;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;350;225;0;0;0;0;;575;;;
SEDE JULIO SANÍN;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREESCOLAR 1;;;25;;;;;;;;
PREESCOLAR 2;;;22;;;;;;;;
PREESCOLAR 3;;;24;;;;;;;;
PRIMERO 1;;;34;;;;;;;;
PRIMERO 2;;;31;;;;;;;;
PRIMERO 3;;;31;;;;;;;;
SEGUNDO 1;;;35;;;;;;;;
SEGUNDO 2;;;37;;;;;;;;
SEGUNDO 3;;;31;;;;;;;;
TERCERO 1;;;34;;;;;;;;
TERCERO 2;;;35;;;;;;;;
TERCERO 3;;;32;;;;;;;;
CUARTO 1;;;37;;;;;;;;
CUARTO 2;;;37;;;;;;;;
CUARTO 3;;;38;;;;;;;;
QUINTO 1;;;36;;;;;;;;
QUINTO 2;;;36;;;;;;;;
QUINTO 3;;;34;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;589;0;0;0;;638;;;
TOTAL COMPREMENTOS  ENTREGADOS;4483;806;8947;796;4533;0;;15948;;;
